transcript_id,creation_time,date,username,line,role,Priming - G,Eliciting - G,Probing - G,Evaluating - G,Telling - G,NA - G,Yes/no question - G,Argumentation words - G,Connection to bigger picture - G,You focused question - G,Funneling - G,"Press for reasoning (G, S) - G","Revoicing (R, RP) - G",comments - G,Priming - GP,Eliciting - GP,Probing - GP,Evaluating - GP,Telling - GP,NA - GP,Yes/no question - GP,Argumentation words - GP,Connection to bigger picture - GP,You focused question - GP,Funneling - GP,"Press for reasoning (G, S) - GP","Revoicing (R, RP) - GP",comments - GP
2139,2021-02-02 18:39:48.062784+00:00,2/2/21,104,Hi Dana! what did you notice when completing the paper experiment?,Teacher,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,,
2139,2021-02-02 18:40:17.584443+00:00,2/2/21,114,I saw that the paper changed 3 different forms,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:40:43.730557+00:00,2/2/21,104,Great! did you notice anything about how much they weighed each time?,Teacher,,,1,1,,,1,,,1,,S,,,,,1,1,,,1,,,1,,S,,
2139,2021-02-02 18:41:24.350463+00:00,2/2/21,104,so would you say that the paper conserved its matter?,Teacher,,,1,,,,1,,,1,,S,,,,,1,,,,1,,,1,1,S,,
2139,2021-02-02 18:41:32.124824+00:00,2/2/21,114,Yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:41:32.124824+00:00,2/2/21,114,Yes,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:41:42.918249+00:00,2/2/21,104,can you explain why you think that?,Teacher,,,1,,,,1,,,1,,G,,,,,1,,,,,,,1,,G,,
2139,2021-02-02 18:41:55.143218+00:00,2/2/21,104,what evidence do you have ?,Teacher,,,1,,,,,1,,1,,G,,,,,1,,,,,1,,1,,G,,evidence is part of argumentation
2139,2021-02-02 18:42:10.898605+00:00,2/2/21,114,I saw that all three weighed 4.6 grams,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2139,2021-02-02 18:42:29.061585+00:00,2/2/21,114," which means since it weighs the same, it stays the same",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
